,Название фильма,Ссылка,Рейтинг,Количество человек,Директор,В главных ролях,Год,Страна,Тип
96,狩猎 / Jagten / 诬网(港)  /  谎言的烙印(台),https://movie.douban.com/subject/6985810/,9.1,363373,导演: 托马斯·温特伯格 Thomas Vinterberg,主演: 麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情
97,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),https://movie.douban.com/subject/1787291/,8.9,670996,导演: 中岛哲也 Tetsuya Nakashima,主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞
98,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,https://movie.douban.com/subject/10777687/,8.9,522542,导演: 李焕庆 Hwan-kyeong Lee,主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭
99,请以你的名字呼唤我 / Call Me by Your Name / 以你的名字呼唤我(港 / 台) ,https://movie.douban.com/subject/26799731/,8.9,674397,导演: 卢卡·瓜达尼诺 Luca Guadagnino,主演: 艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,剧情 爱情 同性
100,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7,991733,导演: 蒂姆·波顿 Tim Burton,主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情 奇幻 爱情
101,唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar,https://movie.douban.com/subject/1306249/,8.7,1009368,导演: 李力持 Lik-Chi Lee,主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装
102,哈利·波特与密室 / Harry Potter and the Chamber of Secrets / 哈利波特2：消失的密室(港 / 台) ,https://movie.douban.com/subject/1296996/,8.8,690681,导演: Chris Columbus,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险
103,一一 / Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,9.1,358178,导演: 杨德昌 Edward Yang,主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭
104,断背山 / Brokeback Mountain / 断臂山  /  BBM,https://movie.douban.com/subject/1418834/,8.8,673618,导演: 李安 Ang Lee,主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情 爱情 同性 家庭
105,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),https://movie.douban.com/subject/1294639/,8.9,537746,导演: 梅尔·吉布森 Mel Gibson,主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 传记 剧情 历史 战争
106,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),https://movie.douban.com/subject/2149806/,8.9,628209,导演: 泷田洋二郎 Yôjirô Takita,主演: 本木雅弘 Masahiro Motoki / ...,2008,日本,剧情
107,第六感 / The Sixth Sense / 鬼眼(港)  /  灵异第六感(台),https://movie.douban.com/subject/1297630/,8.9,523880,导演: M·奈特·沙马兰 M. Night Shyamalan,主演: 布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚
108,爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),https://movie.douban.com/subject/1296339/,8.8,629032,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情
109,重庆森林 / 重慶森林 / Chungking Express,https://movie.douban.com/subject/1291999/,8.8,760135,导演: 王家卫 Kar Wai Wong,主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 爱情
110,蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),https://movie.douban.com/subject/3395373/,8.8,679555,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
111,幽灵公主 / もののけ姫 / 魔法公主(港 / 台) ,https://movie.douban.com/subject/1297359/,8.9,494660,导演: 宫崎骏 Hayao Miyazaki,主演: 松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 奇幻 冒险
112,天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,https://movie.douban.com/subject/1292215/,8.7,924002,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,主演: 奥黛丽·塔图 Audrey Tau...,2001,法国 德国,剧情 喜剧 爱情
113,菊次郎的夏天 / 菊次郎の夏 / 菊次郎之夏  /  Kikujirô no natsu,https://movie.douban.com/subject/1293359/,8.9,558789,导演: 北野武 Takeshi Kitano,主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧
114,小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台) ,https://movie.douban.com/subject/25814705/,9.0,402743,导演: 森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情
115,阳光灿烂的日子 / In the Heat of the Sun,https://movie.douban.com/subject/1291875/,8.9,581795,导演: 姜文 Wen Jiang,主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情 爱情
116,超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台),https://movie.douban.com/subject/11026735/,8.7,951890,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,主演: 斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险
117,爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),https://movie.douban.com/subject/1291990/,8.9,517782,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情
118,完美的世界 / A Perfect World / 强盗保镳,https://movie.douban.com/subject/1300992/,9.1,293102,导演: 克林特·伊斯特伍德 Clint Eastwood,主演: 凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪
119,无人知晓 / 誰も知らない / 谁知赤子心(港)  /  无人知晓的夏日清晨(台),https://movie.douban.com/subject/1292337/,9.1,297091,导演: 是枝裕和 Hirokazu Koreeda,主演: 柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情
120,消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩,https://movie.douban.com/subject/21318488/,8.7,875116,导演: 大卫·芬奇 David Fincher,主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 犯罪 悬疑 惊悚
121,甜蜜蜜 / Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,8.9,500523,导演: 陈可辛 Peter Chan,主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情
122,借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),https://movie.douban.com/subject/4202302/,8.9,517986,导演: 米林宏昌 Hiromasa Yonebayashi,主演: 志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险
123,倩女幽魂 / 倩女幽魂(87版)  /  倩女幽魂：妖魔道,https://movie.douban.com/subject/1297447/,8.8,690968,导演: 程小东 Siu-Tung Ching,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 奇幻 武侠 古装
124,小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台) ,https://movie.douban.com/subject/25814707/,9.0,358866,导演: 森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情
125,侧耳倾听 / 耳をすませば / 心之谷(台)  /  梦幻街少女(港),https://movie.douban.com/subject/1297052/,8.9,434471,导演: 近藤喜文 Yoshifumi Kondo,主演: 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画
126,时空恋旅人 / About Time / 回到最爱的一天(港)  /  真爱每一天(台),https://movie.douban.com/subject/10577869/,8.8,614552,导演: 理查德·柯蒂斯 Richard Curtis,主演: 多姆纳尔·格里森 Domhnall Gl...,2013,英国,喜剧 爱情 奇幻
127,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),https://movie.douban.com/subject/1292274/,8.8,531333,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情
128,驯龙高手 / How to Train Your Dragon / 驯龙记(港),https://movie.douban.com/subject/2353023/,8.8,713742,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,主演:...,2010,美国,动画 奇幻 冒险
129,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,https://movie.douban.com/subject/5989818/,8.9,499708,导演: 大森贵弘 Takahiro Omori,主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻
130,寄生虫 / 기생충 / 寄生上流(台)  /  上流寄生族(港),https://movie.douban.com/subject/27010768/,8.8,1291916,导演: 奉俊昊 Joon-ho Bong,主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情
131,教父3 / The Godfather: Part III / 教父第三集  /  教父 III,https://movie.douban.com/subject/1294240/,9.0,347020,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1990,美国,剧情 犯罪
132,"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司",https://movie.douban.com/subject/1291579/,8.8,626469,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,主演: 约...,2001,美国,儿童 喜剧 动画 奇幻 冒险
133,一个叫欧维的男人决定去死 / En man som heter Ove / 明天别再来敲门(台)  /  想死冇咁易(港),https://movie.douban.com/subject/26628357/,8.9,434283,导演: 汉内斯·赫尔姆 Hannes Holm,主演: 罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情
134,玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客,https://movie.douban.com/subject/3072124/,8.9,405756,导演: 亚当·艾略特 Adam Elliot,主演: 托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画
135,未麻的部屋 / Perfect Blue / 蓝色恐惧(港 / 台) ,https://movie.douban.com/subject/1395091/,9.1,302226,导演: 今敏 Satoshi Kon,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚
136,玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,https://movie.douban.com/subject/1858711/,8.9,481741,导演: 李·昂克里奇 Lee Unkrich,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险
137,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,https://movie.douban.com/subject/1418200/,8.7,744769,导演: 乔·怀特 Joe Wright,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情
138,神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港),https://movie.douban.com/subject/3287562/,8.6,898767,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,主演: ...,2010,美国 法国,喜剧 动画 冒险
139,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),https://movie.douban.com/subject/1291545/,8.8,539823,导演: 蒂姆·波顿 Tim Burton,主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 家庭 奇幻 冒险
140,釜山行 / 부산행 / 尸杀列车(港)  /  尸速列车(台),https://movie.douban.com/subject/25986180/,8.6,1126070,导演: 延尚昊 Sang-ho Yeon,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难
141,告白 / 自白  /  母亲,https://movie.douban.com/subject/4268598/,8.8,641935,导演: 中岛哲也 Tetsuya Nakashima,主演: 松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 悬疑
142,被解救的姜戈 / Django Unchained / 被解放的姜戈  /  决杀令(台),https://movie.douban.com/subject/6307447/,8.8,572556,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险
143,哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire / 哈利波特4：火杯的考验(港 / 台) ,https://movie.douban.com/subject/1309055/,8.7,601716,导演: 迈克·内威尔 Mike Newell,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑 奇幻 冒险
144,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,https://movie.douban.com/subject/4917726/,8.8,568031,导演: 姜炯哲 Hyeong-Cheol Kang,主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧
145,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),https://movie.douban.com/subject/1316510/,8.7,598678,导演: 刘镇伟 Jeffrey Lau,主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装
146,哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,https://movie.douban.com/subject/1307315/,9.1,241631,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,主演: 梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻
147,新世界 / 신세계 / 暗黑新世界(台)  /  New World,https://movie.douban.com/subject/10437779/,8.9,386910,导演: 朴勋政 Hoon-jung Park,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪
148,我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),https://movie.douban.com/subject/1306861/,9.0,317537,导演: 杰茜·尼尔森 Jessie Nelson,主演: Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭
149,恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),https://movie.douban.com/subject/21360417/,8.7,615646,导演: 金秉祐 Byeong-woo Kim,主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑
150,头号玩家 / Ready Player One / 玩家一号  /  挑战者1号(港),https://movie.douban.com/subject/4920389/,8.7,1291481,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险
151,模仿游戏 / The Imitation Game / 解码游戏(港)  /  模拟游戏,https://movie.douban.com/subject/10463953/,8.8,606892,导演: 莫滕·泰杜姆 Morten Tyldum,主演: 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性
152,血战钢锯岭 / Hacksaw Ridge / 钢锯岭  /  钢铁英雄(台),https://movie.douban.com/subject/26325320/,8.7,745231,导演: 梅尔·吉布森 Mel Gibson,主演: 安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 美国,剧情 传记 历史 战争
153,喜宴 / 囍宴 / The Wedding Banquet,https://movie.douban.com/subject/1303037/,9.0,333027,导演: 李安 Ang Lee,主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
154,七武士 / 七人の侍 / 七侠四义(港)  /  七剑客(港),https://movie.douban.com/subject/1295399/,9.3,184428,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情
155,花样年华 / 花樣年華 / In the Mood for Love,https://movie.douban.com/subject/1291557/,8.7,562297,导演: 王家卫 Kar Wai Wong,主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,中国香港,剧情 爱情
156,头脑特工队 / Inside Out / 玩转脑朋友(港)  /  脑筋急转弯(台),https://movie.douban.com/subject/10533913/,8.8,570445,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧 动画 冒险
157,黑客帝国3：矩阵革命 / The Matrix Revolutions / 22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),https://movie.douban.com/subject/1302467/,8.8,423068,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻
158,九品芝麻官 / 九品芝麻官之白面包青天  /  Hail the Judge,https://movie.douban.com/subject/1297518/,8.7,620575,导演: 王晶 Jing Wong,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港 中国大陆,剧情 喜剧 古装
159,电锯惊魂 / Saw / 恐惧斗室(港)  /  夺魂锯(台),https://movie.douban.com/subject/1417598/,8.8,497826,导演: 詹姆斯·温 James Wan,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖
160,"三块广告牌 / Three Billboards Outside Ebbing, Missouri / 广告牌杀人事件(港)  /  意外(台)",https://movie.douban.com/subject/26611804/,8.7,777863,导演: 马丁·麦克唐纳 Martin McDonagh,主演: 弗兰西斯·麦克多蒙德 France...,2017,美国 英国,剧情 犯罪
161,你的名字。 / 君の名は。 / 你的名字  /  君之名,https://movie.douban.com/subject/26683290/,8.5,1308315,导演: 新海诚 Makoto Shinkai,主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画
162,惊魂记 / Psycho / 精神病患者  /  触目惊心(港),https://movie.douban.com/subject/1293181/,9.0,265623,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,主演: 安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖
163,达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台),https://movie.douban.com/subject/1793929/,8.8,428572,导演: 让-马克·瓦雷 Jean-Marc Vallée,主演: 马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性
164,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),https://movie.douban.com/subject/1291822/,8.9,308908,导演: 特瑞·乔治 Terry George,主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
165,疯狂原始人 / The Croods / 古鲁家族(港 / 台) ,https://movie.douban.com/subject/1907966/,8.7,795967,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险
166,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),https://movie.douban.com/subject/1292208/,9.0,286395,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情
167,谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),https://movie.douban.com/subject/1578507/,8.8,395931,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国 德国,动作 悬疑 惊悚
168,心迷宫 / 殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,8.7,485054,导演: 忻钰坤 Yukun Xin,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑
169,英雄本色 / A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,8.6,502255,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪
170,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,https://movie.douban.com/subject/1291585/,8.9,338173,导演: 宫崎骏 Hayao Miyazaki,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险
171,色，戒 / 色|戒  /  色·戒,https://movie.douban.com/subject/1828115/,8.6,723621,导演: 李安 Ang Lee,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
172,纵横四海 / 緃横四海 / Once a Thief,https://movie.douban.com/subject/1295409/,8.8,395884,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪
173,海街日记 / 海街diary / 海街女孩日记(港)  /  Kamakura Diary,https://movie.douban.com/subject/25895901/,8.8,418068,导演: 是枝裕和 Hirokazu Koreeda,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭
174,茶馆 / The Teahouse,https://movie.douban.com/subject/1461403/,9.5,118188,导演: 谢添 Tian Xie,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),中国大陆,剧情 历史
175,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,https://movie.douban.com/subject/3792799/,8.7,553058,导演: 罗启锐 Alex Law,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭
176,记忆碎片 / Memento / 凶心人(港)  /  记忆拼图(台),https://movie.douban.com/subject/1304447/,8.7,570799,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚
177,爱在午夜降临前 / Before Midnight / 情约半生(港)  /  爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/,8.9,367721,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情
178,绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里,https://movie.douban.com/subject/1300374/,8.9,303922,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑
179,忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,https://movie.douban.com/subject/1959195/,9.2,182028,导演: Seijirô Kôyama,主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,日本,剧情
180,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/,8.8,416395,导演: 达米安·斯兹弗隆 Damián Szifron,主演: 达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪
181,爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台),https://movie.douban.com/subject/25773932/,8.7,548600,导演: 达米恩·查泽雷 Damien Chazelle,主演: 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐
182,小偷家族 / 万引き家族 / Shoplifters  /  Une Affaire de Famille,https://movie.douban.com/subject/27622447/,8.7,774257,导演: 是枝裕和 Hirokazu Koreeda,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭
183,疯狂的石头 / Crazy Stone,https://movie.douban.com/subject/1862151/,8.6,769569,导演: 宁浩 Hao Ning,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪
184,贫民窟的百万富翁 / Slumdog Millionaire / 一百万零一夜(港)  /  贫民百万富翁(台),https://movie.douban.com/subject/2209573/,8.6,711106,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演: 戴夫...,2008,英国,剧情 爱情
185,无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,https://movie.douban.com/subject/6534248/,8.7,504438,导演: 瑞奇·莫尔 Rich Moore,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险
186,东邪西毒 / 東邪西毒 / Ashes of Time,https://movie.douban.com/subject/1292328/,8.6,546315,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
187,雨中曲 / Singin' in the Rain / 万花嬉春(港 / 台) ,https://movie.douban.com/subject/1293460/,9.1,205840,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,主演: 吉恩·...,1952,美国,喜剧 歌舞 爱情
188,真爱至上 / Love Actually / 真的恋爱了(港)  /  爱是您，爱是我(台),https://movie.douban.com/subject/1292401/,8.6,687351,导演: 理查德·柯蒂斯 Richard Curtis,主演: 休·格兰特 Hugh Grant / 柯林...,2003,英国 美国 法国,喜剧 剧情 爱情
189,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,https://movie.douban.com/subject/1291578/,8.6,579416,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧 动画 冒险
190,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,https://movie.douban.com/subject/3011051/,8.5,797175,导演: 克里斯托弗·史密斯 Christopher Smith,主演: 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚
191,2001太空漫游 / 2001: A Space Odyssey / 2001：星际漫游  /  2001：太空奥德赛,https://movie.douban.com/subject/1292226/,8.9,295988,导演: 斯坦利·库布里克 Stanley Kubrick,主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险
192,你看起来好像很好吃 / おまえうまそうだな / 你看起来很好吃(台)  /  你看上去好像很好吃,https://movie.douban.com/subject/4848115/,8.9,315109,导演: 藤森雅也 Masaya Fujimori,主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童
193,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),https://movie.douban.com/subject/1978709/,8.6,749817,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,主演: 娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚
194,无间道2 / 無間道II / 无间道前传  /  Infernal Affairs II,https://movie.douban.com/subject/1307106/,8.7,437299,导演: 刘伟强 / 麦兆辉,主演: 陈冠希 / 余文乐 / 曾志伟,2003,中国香港,剧情 犯罪 惊悚
195,魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送,https://movie.douban.com/subject/1307811/,8.7,430678,导演: 宫崎骏 Hayao Miyazaki,主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险
196,牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day,https://movie.douban.com/subject/1292329/,8.9,272441,导演: 杨德昌 Edward Yang,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪
197,遗愿清单 / The Bucket List / 玩转身前事(港)  /  一路玩到挂(台),https://movie.douban.com/subject/1867345/,8.7,419084,导演: 罗伯·莱纳 Rob Reiner,主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情
