,Название фильма,Ссылка,Рейтинг,Количество человек,Директор,В главных ролях,Год,Страна,Тип
24,怦然心动 / Flipped / 萌动青春  /  青春萌动,https://movie.douban.com/subject/3319755/,9.1,1729752,导演: 罗伯·莱纳 Rob Reiner,主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情
25,龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,https://movie.douban.com/subject/1291560/,9.2,1194811,导演: 宫崎骏 Hayao Miyazaki,主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险
26,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),https://movie.douban.com/subject/1293172/,9.3,815230,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
27,寻梦环游记 / Coco / 玩转极乐园(港)  /  可可夜总会(台),https://movie.douban.com/subject/20495023/,9.1,1553965,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,主演: ...,2017,美国,喜剧 动画 奇幻 音乐
28,蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),https://movie.douban.com/subject/1851857/,9.2,997598,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
29,活着 / 人生  /  Lifetimes,https://movie.douban.com/subject/1292365/,9.3,785339,导演: 张艺谋 Yimou Zhang,主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭
30,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,https://movie.douban.com/subject/1295038/,9.2,1097920,导演: Chris Columbus,主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险
31,指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,https://movie.douban.com/subject/1291552/,9.3,755859,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险
32,乱世佳人 / Gone with the Wind / 飘,https://movie.douban.com/subject/1300267/,9.3,650454,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,主演: 费...,1939,美国,剧情 历史 爱情 战争
33,素媛 / 소원 / 许愿  /  希望：为爱重生(台),https://movie.douban.com/subject/21937452/,9.3,643788,导演: 李濬益 Jun-ik Lee,主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情
34,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),https://movie.douban.com/subject/2129039/,9.1,1250302,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,主演: 爱德...,2009,美国,剧情 喜剧 动画 冒险
35,我不是药神 / 中国药神  /  印度药神,https://movie.douban.com/subject/26752088/,9.0,1981269,导演: 文牧野 Muye Wen,主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧
36,摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),https://movie.douban.com/subject/26387939/,9.0,1485521,导演: 涅提·蒂瓦里 Nitesh Tiwari,主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭
37,何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),https://movie.douban.com/subject/30170448/,9.1,980866,导演: 娜丁·拉巴基 Nadine Labaki,主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情
38,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,https://movie.douban.com/subject/1293182/,9.4,454017,导演: Sidney Lumet,主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情
39,哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),https://movie.douban.com/subject/1308807/,9.1,953137,导演: 宫崎骏 Hayao Miyazaki,主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,动画 奇幻 冒险
40,鬼子来了 / Devils on the Doorstep,https://movie.douban.com/subject/1291858/,9.3,587637,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧
41,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,https://movie.douban.com/subject/1929463/,9.1,1282275,导演: 李安 Ang Lee,主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
42,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  捉智双雄(港),https://movie.douban.com/subject/1305487/,9.1,937755,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情
43,让子弹飞 / 让子弹飞一会儿  /  火烧云,https://movie.douban.com/subject/3742360/,9.0,1592694,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
44,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,https://movie.douban.com/subject/1299398/,9.0,1154758,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
45,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,https://movie.douban.com/subject/1291583/,9.2,774665,导演: 宫崎骏 Hayao Miyazaki,主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险
46,钢琴家 / The Pianist / 钢琴战曲(港)  /  战地琴人(台),https://movie.douban.com/subject/1296736/,9.3,581603,导演: 罗曼·波兰斯基 Roman Polanski,主演: 艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐
47,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,https://movie.douban.com/subject/1291572/,9.2,706764,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险
48,海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,https://movie.douban.com/subject/25958717/,9.3,536149,导演: 阿兰·葛斯彭纳 Alain Gsponer,主演: 阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭
49,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,https://movie.douban.com/subject/1298624/,9.1,825445,导演: 马丁·布莱斯 Martin Brest,主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情
50,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),https://movie.douban.com/subject/1291828/,9.2,647609,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情
51,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),https://movie.douban.com/subject/1293839/,9.1,902801,导演: 威廉·惠勒 William Wyler,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情
52,指环王1：护戒使者 / The Lord of the Rings: The Fellowship of the Ring / 指环王1：魔戒再现  /  指环王I：护戒使者,https://movie.douban.com/subject/1291571/,9.1,797407,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险
53,大闹天宫 / 大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,9.4,404199,导演: 万籁鸣 Laiming Wan,主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆)/1964(中国大陆)/1978(中国大陆),中国大陆,剧情 动画 奇幻 古装
54,黑客帝国 / The Matrix / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),https://movie.douban.com/subject/1291843/,9.1,791835,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主...,1999,美国,动作 科幻
55,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),https://movie.douban.com/subject/1291548/,9.2,669216,导演: 彼得·威尔 Peter Weir,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情
56,绿皮书 / Green Book / 绿簿旅友(港)  /  幸福绿皮书(台),https://movie.douban.com/subject/27060077/,8.9,1532673,导演: 彼得·法雷里 Peter Farrelly,主演: 维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐
57,教父2 / The Godfather: Part II / 教父续集(港)  /  教父II,https://movie.douban.com/subject/1299131/,9.3,513921,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1974,美国,剧情 犯罪
58,狮子王 / The Lion King / 狮子王3D,https://movie.douban.com/subject/1301753/,9.1,786670,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,主演: 乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞
59,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),https://movie.douban.com/subject/21937445/,9.2,559523,导演: 杨宇硕 Woo-seok Yang,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情
60,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),https://movie.douban.com/subject/1292000/,9.0,800896,导演: 大卫·芬奇 David Fincher,主演: 爱德华·诺顿 Edward Norton / 布拉...,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚
61,饮食男女 / 飲食男女 / Eat Drink Man Woman,https://movie.douban.com/subject/1291818/,9.2,578123,导演: 李安 Ang Lee,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭
62,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),https://movie.douban.com/subject/1306029/,9.1,725516,导演: 朗·霍华德 Ron Howard,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情
63,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),https://movie.douban.com/subject/1485260/,9.0,929640,导演: 大卫·芬奇 David Fincher,主演: 凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻
64,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,https://movie.douban.com/subject/3008247/,9.2,521209,导演: 马克·赫尔曼 Mark Herman,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争
65,窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,https://movie.douban.com/subject/1900841/,9.2,532488,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑
66,情书 / Love Letter / When I Close My Eyes  /  Letters of Love,https://movie.douban.com/subject/1292220/,8.9,1029594,导演: 岩井俊二 Shunji Iwai,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情
